"la_name","SEN_Unit","RP_Unit","Total pupils","EHC plan"
"Lambeth","0","0","1042","36"
"Lambeth","0","0","835","45"
"Lambeth","0","0","586","18"
"Lambeth","0","0","218","3"
"Lambeth","0","0","342","12"
"Lambeth","0","0","144","3"
"Lambeth","0","0","406","9"
"Lambeth","0","0","429","9"
"Lambeth","0","0","239","7"
"Lambeth","0","0","318","6"
"Lambeth","0","0","1080","12"
"Lambeth","0","0","1202","51"
"Lambeth","0","1","657","34"
"Lambeth","0","0","130","130"
"Lambeth","0","0","326","6"
"Lambeth","0","0","306","1"
"Lambeth","0","0","813","2"
"Lambeth","0","0","147","0"
"Lambeth","0","0","138","138"
"Lambeth","0","0","145","145"
"Lewisham","0","0","98","3"
"Lewisham","0","0","142","2"
"Lewisham","0","0","493","9"
"Lewisham","0","1","430","43"
"Lewisham","0","0","233","5"
"Lewisham","0","0","421","11"
"Lewisham","0","1","661","24"
"Lewisham","0","0","379","5"
"Lewisham","0","0","461","9"
"Lewisham","0","0","471","10"
"Lewisham","0","0","419","9"
"Lewisham","0","0","424","8"
"Lewisham","0","0","469","10"
"Lewisham","0","0","623","6"
"Lewisham","0","0","216","6"
"Lewisham","0","0","446","5"
"Lewisham","0","0","665","9"
"Lewisham","0","0","492","5"
"Lewisham","0","0","397","7"
"Lewisham","0","1","626","44"
"Lewisham","0","0","421","12"
"Lewisham","0","0","378","9"
"Lewisham","0","0","460","12"
"Lewisham","0","0","330","8"
"Lewisham","0","0","382","11"
"Lewisham","0","0","394","9"
"Lewisham","0","0","498","16"
"Lewisham","0","1","598","15"
"Lewisham","0","0","650","12"
"Lewisham","0","0","303","8"
"Lewisham","0","0","286","1"
"Lewisham","0","1","644","38"
"Lewisham","0","0","624","9"
"Lewisham","0","0","428","10"
"Lewisham","0","0","430","4"
"Lewisham","0","0","242","5"
"Lewisham","0","0","428","9"
"Lewisham","0","0","225","4"
"Lewisham","0","1","208","13"
"Lewisham","0","0","306","3"
"Lewisham","0","0","228","5"
"Lewisham","0","0","662","10"
"Lewisham","0","0","234","3"
"Lewisham","0","0","147","2"
"Lewisham","0","0","223","8"
"Lewisham","0","0","180","8"
"Lewisham","0","0","233","0"
"Lewisham","0","0","224","7"
"Lewisham","0","0","373","9"
"Lewisham","0","0","192","9"
"Lewisham","0","0","198","7"
"Lewisham","0","0","200","9"
"Lewisham","0","0","239","3"
"Lewisham","0","0","177","5"
"Lewisham","0","0","310","6"
"Lewisham","0","0","226","5"
"Lewisham","0","0","216","5"
"Lewisham","0","0","221","6"
"Lewisham","0","0","244","10"
"Lewisham","0","1","885","37"
"Lewisham","0","0","1455","15"
"Lewisham","0","1","862","72"
"Lewisham","0","0","1188","31"
"Lewisham","0","0","1222","25"
"Lewisham","0","1","587","56"
"Lewisham","0","0","1002","19"
"Lewisham","0","0","911","14"
"Lewisham","0","0","893","40"
"Lewisham","0","0","974","1"
"Greenwich","0","0","736","1"
"Lewisham","0","0","697","0"
"Lewisham","0","0","156","156"
"Lewisham","0","0","81","79"
"Lewisham","0","0","140","138"
"Lewisham","0","0","140","137"
"Southwark","0","0","215","9"
"Southwark","0","0","91","1"
"Southwark","0","0","99","3"
"Southwark","0","0","110","0"
"Southwark","0","0","71","7"
"Southwark","0","0","442","8"
"Southwark","0","0","228","5"
"Southwark","0","0","384","12"
"Southwark","0","0","288","7"
"Southwark","0","0","238","5"
"Southwark","0","0","210","6"
"Southwark","0","0","485","11"
"Southwark","0","0","339","9"
"Southwark","0","0","619","7"
"Southwark","0","0","377","8"
"Southwark","0","0","402","10"
"Southwark","0","0","179","6"
"Southwark","0","0","315","8"
"Southwark","0","0","509","8"
"Southwark","1","0","484","37"
"Southwark","0","0","343","9"
"Southwark","0","0","337","6"
"Southwark","0","1","422","9"
"Southwark","0","0","447","12"
